experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,report_1_polarity,report_2_polarity,repeat_index,timestep,event_id,actor_id,action_type,success,error_message,reply_to,hyperedge_id,visible_hyperedge_ids,activation_score,signal_polarity,content,final_choice,credible_choice,share_choice,comment_choice,like_choice,reason,reason_signal,nsb,cb,sb,eb,nci_comp,scm,gcr,ssa,is_stop_step,stop_reason,raw_response
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e1,agent_060,post,True,,,t1_e1,seed_1|seed_2|seed_3|seed_4,0.5053935698819798,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,1.0,1.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到seed_4提到恢复慢的情况值得留意，但结合seed_2和seed_3，多数孩子还是按常规处理，恢复节奏不一但整体可控。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的恢复较快和常规处理线索更具体且一致，而恢复拖长的描述多为个别情况。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e10,agent_021,post,True,,,t1_e10,seed_1|seed_2|seed_3|seed_4,0.4994556237833238,positive,更让我安心的是报道1和seed评论中提到的恢复平稳、常规处理和学校处置措施更具体，让我觉得当前情况更像可应对的季节性波动。,positive,positive,positive,support_positive,positive,报道1和seed评论中提到的恢复平稳、常规处理和学校处置措施更具体，让我觉得当前情况更像可应对的季节性波动。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有些家长说恢复节奏不一，确实需要多观察几天，但多数还是按常规处理。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的恢复平稳、常规处理和学校处置措施更具体，让我觉得当前情况更像可应对的季节性波动。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e11,agent_006,post,True,,,t1_e11,seed_1|seed_2|seed_3|seed_4,0.4992315312631502,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,none,support_negative,positive,报道2中提到的恢复时间拖长和反复现象与seed_2和seed_4中提到的个别恢复慢的情况更吻合，这些具体线索让我更关注可能的恢复问题。,,1,1,0,1,2,,0.5454545454545454,0.0909090909090908,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有些孩子退热后咳嗽和体力恢复节奏不一样，确实需要多观察几天。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""report_1"",""reason"":""报道2中提到的恢复时间拖长和反复现象与seed_2和seed_4中提到的个别恢复慢的情况更吻合，这些具体线索让我更关注可能的恢复问题。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e12,agent_010,post,True,,,t1_e12,seed_1|seed_2|seed_3|seed_4,0.4988236815974172,positive,更让我安心的是报道1和seed评论中提到的学校应对和常规治疗路径更具体，而报道2的担忧多来自零散个案。,positive,positive,positive,support_positive,positive,报道1和seed评论中提到的学校应对和常规治疗路径更具体，而报道2的担忧多来自零散个案。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到恢复节奏不一，但多数还是按常规处理，感觉医院应对能力这边更具体一些。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的学校应对和常规治疗路径更具体，而报道2的担忧多来自零散个案。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e13,agent_034,post,True,,,t1_e13,seed_1|seed_2|seed_3|seed_4,0.4985743864969756,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.5384615384615384,0.0769230769230768,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到不少家长反馈多数孩子按常规处理后恢复平稳，但也有个别恢复慢需要多观察的情况，整体上还是更倾向于可控上升。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中更具体的恢复平稳和学校应对线索比报道2中的零散个案更有代表性。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e14,agent_241,post,True,,,t1_e14,seed_1|seed_2|seed_3|seed_4,0.3160942994833212,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到seed_4提到个别恢复慢的情况，但更多家长反馈按常规处理就能恢复平稳，感觉风险和可控线索都比较具体，暂时观望。"",""reply_target"":"""",""final_choice"":""neutral"",""credible_choice"":""neutral"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1和报道2中风险提示与缓解证据的具体性接近，seed评论中既有恢复平稳的也有个别反复的，难以判断哪边更突出。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e15,agent_278,post,True,,,t1_e15,seed_1|seed_2|seed_3|seed_4,0.3171310007849548,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.5333333333333333,0.0666666666666666,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到很多家长提到恢复节奏不一，确实需要多观察几天，不能只看单个经历。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中的具体恢复案例和学校应对措施比报道2中的模糊风险提醒更有说服力，且与可见评论中的多数经验一致。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e2,agent_037,post,True,,,t1_e2,seed_1|seed_2|seed_3|seed_4,0.5052179701937405,positive,最近班级和家长群里关于甲流的讨论比平时多一些，大家主要是在交流恢复情况和日常防护。,positive,positive,positive,support_positive,positive,我主要是被报道1和seed评论里更具体的可控线索推向这一边，特别是多数家长提到按医嘱处理后的恢复情况比较平稳。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""最近班级和家长群里关于甲流的讨论比平时多一些，大家主要是在交流恢复情况和日常防护。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""我主要是被报道1和seed评论里更具体的可控线索推向这一边，特别是多数家长提到按医嘱处理后的恢复情况比较平稳。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e3,agent_044,post,True,,,t1_e3,seed_1|seed_2|seed_3|seed_4,0.5047493035476537,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.6666666666666666,0.3333333333333332,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有些孩子恢复后还需要多观察几天，但多数还是按常规处理，感觉当前情况确实更像季节性波动。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中的具体恢复案例和应对措施更充分，多数家长反馈的常规处理和学校防控措施让我更倾向于当前是可应对的季节性上升。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e4,agent_054,post,True,,,t1_e4,seed_1|seed_2|seed_3|seed_4,0.5042079369888194,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到报道2里提到高热反复和恢复拖长的具体经历，比报道1的常规描述更让我担心。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中提到的具体症状反复和恢复拖长案例更具体，让我更倾向于接受风险提醒。""}"
