experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,report_1_polarity,report_2_polarity,repeat_index,timestep,success,error_message,final_choice,credible_choice,share_choice,comment_choice,like_choice,reason,reason_signal,nsb,cb,sb,eb,nci_comp,raw_response
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,1,1,True,,positive,positive,none,neutral,none,报道1中的恢复较快和可应对上升的描述比报道2中恢复拖长的个案更符合季节性波动的常规模式。,,0.0,0,0,0,0,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中的恢复较快和可应对上升的描述比报道2中恢复拖长的个案更符合季节性波动的常规模式。""}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,2,1,True,,negative,negative,none,neutral,none,报道1中提到的'高热反复、恢复时间拖长'和'刚好转又反复'的具体症状描述，比报道2中的一般性恢复描述更能解释当前流感病例增加的背景。,,1.0,1,0,0,1,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中提到的'高热反复、恢复时间拖长'和'刚好转又反复'的具体症状描述，比报道2中的一般性恢复描述更能解释当前流感病例增加的背景。""}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,3,1,True,,positive,positive,none,neutral,none,报道1提供了更具体的恢复路径和应对措施，而报道2的风险线索相对零散且缺乏具体细节。,,0.0,0,0,0,0,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1提供了更具体的恢复路径和应对措施，而报道2的风险线索相对零散且缺乏具体细节。""}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,4,1,True,,negative,negative,none,neutral,none,报道1中提到的'高热反复'、'恢复时间拖长'和'刚好转又反复'等具体症状描述比报道2的'短期发热'和'几天内缓解'更符合背景中提到的'恢复慢、复查观察和症状拖延线索'。,,1.0,1,0,0,1,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中提到的'高热反复'、'恢复时间拖长'和'刚好转又反复'等具体症状描述比报道2的'短期发热'和'几天内缓解'更符合背景中提到的'恢复慢、复查观察和症状拖延线索'。""}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,5,1,True,,positive,positive,none,neutral,none,报道1中提到的门诊医生、家长和老师的一线观察更具体，且明确提到症状缓解和传播链可控，比报道2中的网络传闻更有参考价值。,,0.0,0,0,0,0,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中提到的门诊医生、家长和老师的一线观察更具体，且明确提到症状缓解和传播链可控，比报道2中的网络传闻更有参考价值。""}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,6,1,True,,negative,negative,none,neutral,none,报道1中提到的'高热反复、恢复时间拖长'和'刚好转又反复'的具体经历更符合背景信息中'讨论是否需要提高警惕'的担忧氛围。,,1.0,1,0,0,1,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中提到的'高热反复、恢复时间拖长'和'刚好转又反复'的具体经历更符合背景信息中'讨论是否需要提高警惕'的担忧氛围。""}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,7,1,True,,positive,positive,none,neutral,none,报道1提供的医疗应对和常规治疗缓解案例更具体，而报道2的风险线索多为零散网络消息，缺乏系统性医疗数据支持。,,0.0,0,0,0,0,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1提供的医疗应对和常规治疗缓解案例更具体，而报道2的风险线索多为零散网络消息，缺乏系统性医疗数据支持。""}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,8,1,True,,negative,negative,none,neutral,none,报道1中提到的高热反复、恢复时间拖长和交叉感染压力更具体，且与背景中'恢复慢、复查观察和症状拖延线索'更吻合。,,1.0,1,0,0,1,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1中提到的高热反复、恢复时间拖长和交叉感染压力更具体，且与背景中'恢复慢、复查观察和症状拖延线索'更吻合。""}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,9,1,True,,positive,positive,none,neutral,none,报道1提供了更具体的恢复路径和应对措施，而报道2的风险提醒多为零散个案，缺乏系统描述。,,0.0,0,0,0,0,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""报道1提供了更具体的恢复路径和应对措施，而报道2的风险提醒多为零散个案，缺乏系统描述。""}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,10,1,True,,negative,negative,none,support_negative,negative,报道1中提到的'高热反复'、'恢复时间拖长'和'交叉感染压力'等具体风险线索更贴近背景信息中'公众持续讨论'的担忧情绪。,,1.0,1,0,1,3,"{""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1中提到的'高热反复'、'恢复时间拖长'和'交叉感染压力'等具体风险线索更贴近背景信息中'公众持续讨论'的担忧情绪。""}"
