experiment_family,scenario_name,condition_name,persona_name,agent_persona_name,chat_atmosphere,report_1_polarity,report_2_polarity,repeat_index,timestep,event_id,actor_id,action_type,success,error_message,reply_to,hyperedge_id,visible_hyperedge_ids,activation_score,signal_polarity,content,final_choice,credible_choice,share_choice,comment_choice,like_choice,reason,reason_signal,nsb,cb,sb,eb,nci_comp,scm,gcr,ssa,is_stop_step,stop_reason,raw_response
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e1,agent_060,post,True,,,t1_e1,seed_1|seed_2|seed_3|seed_4,0.4653935698819798,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,1.0,1.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到seed_4提到个别恢复慢的情况，但多数还是按常规处理，这和我最近观察到的趋势比较一致。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""我更相信报道1中关于大部分病例短期缓解、传播链可控的具体描述，虽然不否认个别恢复慢的情况存在，但整体趋势相对乐观。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e10,agent_034,post,True,,,t1_e10,seed_1|seed_2|seed_3|seed_4,0.46059845296521634,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""我注意到seed_4提到个别恢复慢或反复的情况值得留意，这让我更关注报道2中提到的恢复时间拖长和反复问题。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""report_2"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""seed_4中关于个别恢复慢或反复的提示与报道2中的具体案例更为一致，这些具体风险线索让我更倾向于报告2的观点。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e11,agent_033,post,True,,,t1_e11,seed_1|seed_2|seed_3|seed_4,0.46047448341857516,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.5454545454545454,0.09090909090909083,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到好几个家长提到按常规治疗后恢复平稳，但确实有个别孩子恢复慢的情况需要留意。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""none"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""我更相信报道1中关于多数病例恢复较快、症状较轻的具体描述，尽管也注意到个别恢复慢的情况。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e12,agent_006,post,True,,,t1_e12,seed_1|seed_2|seed_3|seed_4,0.4603284369987269,positive,更让我安心的是主要是被报道1和最近讨论里更具体的线索推向这一边。,positive,positive,positive,support_positive,positive,我主要是被报道1和最近讨论里更具体的线索推向这一边。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""最近班级和家长群里关于甲流的讨论比平时多一些，大家主要是在交流恢复情况和日常防护。有些孩子退热后体力和咳嗽缓解节奏不一样，需要多观察几天，但多数还是按常规处理。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""我主要是被报道1和最近讨论里更具体的线索推向这一边。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e13,agent_051,post,True,,,t1_e13,seed_1|seed_2|seed_3|seed_4,0.4597185761154905,negative,我更担心的是现实里的压力累积，不只是表面上的平稳。,negative,negative,none,support_negative,negative,seed_4提到个别恢复慢或反复的情况值得留意，这些具体线索在报道2中也有更多体现。,,1,1,0,1,3,,0.5384615384615384,0.07692307692307687,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到好几个家长提到恢复节奏不一，个别孩子反复的情况确实需要多观察几天。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""seed_4提到个别恢复慢或反复的情况值得留意，这些具体线索在报道2中也有更多体现。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e14,agent_241,post,True,,,t1_e14,seed_1|seed_2|seed_3|seed_4,0.2761231820659999,positive,我还是会更相信眼下这些说明情况还稳得住的线索。,positive,positive,positive,support_positive,positive,报道1和seed评论中提到的恢复情况描述更具体连续，多数提到按常规处理后恢复平稳，这些线索相对更具体。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到恢复节奏不一，但多数按常规处理后还是平稳的，这点挺具体的。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的恢复情况描述更具体连续，多数提到按常规处理后恢复平稳，这些线索相对更具体。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e15,agent_278,post,True,,,t1_e15,seed_1|seed_2|seed_3|seed_4,0.27713100078495484,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.5333333333333333,0.06666666666666665,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到不少家长提到恢复节奏不一，但学校处理和常规治疗确实能控制多数情况，不过个别反复的案例也值得注意。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中关于恢复情况的描述更具体且连续，多数提到按常规处理后恢复平稳，这让我更倾向于这一边。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e2,agent_037,post,True,,,t1_e2,seed_1|seed_2|seed_3|seed_4,0.4652179701937405,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到不少家长说恢复后还需要多观察几天，个别孩子反复不舒服，这让我对当前医院应对能力有点担心。"",""reply_target"":"""",""final_choice"":""report_2"",""credible_choice"":""report_2"",""share_choice"":""none"",""comment_choice"":""support_report_2"",""like_choice"":""report_2"",""reason"":""报道2中提到的恢复慢、反复症状和门诊压力等具体线索，比报道1中的常规恢复和学校应对更引起我的关注。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e3,agent_044,post,True,,,t1_e3,seed_1|seed_2|seed_3|seed_4,0.46474930354765376,negative,我先占个楼，恢复慢和复诊这些具体提醒还是值得继续看。,negative,negative,negative,support_negative,negative,我的进入讨论前状态接近观望，seed 中恢复慢、复诊或照护压力这些线索让我保留轻度风险意识。,,1,1,1,1,4,,0.6666666666666666,0.33333333333333326,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到有家长提到恢复节奏不一，确实需要多观察几天，但多数还是按常规处理，这种情况更像是季节性波动。"",""reply_target"":"""",""final_choice"":""report_1"",""credible_choice"":""report_1"",""share_choice"":""report_1"",""comment_choice"":""support_report_1"",""like_choice"":""report_1"",""reason"":""报道1和seed评论中提到的恢复情况和学校应对措施更具体连续，虽然有个别恢复慢的情况，但整体恢复平稳的线索更充分。""}"
main,influenza_a,high_interaction,main_baseline_neutral,main_baseline_neutral,none,positive,negative,1,1,t1_e4,agent_054,post,True,,,t1_e4,seed_1|seed_2|seed_3|seed_4,0.46420793698881935,positive,我先占个楼，按目前看到的材料，我还会把它理解成需要观察但总体可处理。,positive,neutral,none,support_positive,positive,我的进入讨论前状态还没有明显偏向风险，正式应对、规范治疗和多数恢复线索仍然能支撑轻度可控判断。,,0,0,0,0,0,,0.5,0.0,False,,"{""planned_action"":""post_comment"",""public_comment"":""看到不少家长提到按常规处理后恢复平稳，但个别孩子恢复慢或反复的情况也需要留意。"",""reply_target"":"""",""final_choice"":""neutral"",""credible_choice"":""neutral"",""share_choice"":""none"",""comment_choice"":""neutral"",""like_choice"":""none"",""reason"":""两篇报道和初始评论都提供了具体线索，但报道1中的恢复平稳和常规处理路径较为具体，而报道2中的恢复慢和反复情况也有具体描述，两者都有具体性，难以完全偏向一边。""}"
